,Unnamed: 0.1,Unnamed: 0,name,rating,price,img_url
81,42,42,Private Paris (Private #10),5,47.61,https://books.toscrape.com/media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg
82,54,54,Thirst,5,17.27,https://books.toscrape.com/media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg
83,34,34,Sophie's World,5,15.94,https://books.toscrape.com/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg
84,32,32,The Elephant Tree,5,23.82,https://books.toscrape.com/media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg
85,46,46,"We Love You, Charlie Freeman",5,50.27,https://books.toscrape.com/media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg
86,43,43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,23.11,https://books.toscrape.com/media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg
87,30,30,The Four Agreements: A Practical Guide to Personal Freedom,5,17.66,https://books.toscrape.com/media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg
88,14,14,Rip it Up and Start Again,5,35.02,https://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg
89,13,13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
90,12,12,Set Me Free,5,17.46,https://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
91,4,4,Sapiens: A Brief History of Humankind,5,54.23,https://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
92,23,23,Chase Me (Paris Nights #2),5,25.27,https://books.toscrape.com/media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg
93,24,24,Black Dust,5,34.53,https://books.toscrape.com/media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg
94,28,28,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,5,40.3,https://books.toscrape.com/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg
95,72,72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5,32.24,https://books.toscrape.com/media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg
96,80,80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,13.61,https://books.toscrape.com/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg
97,81,81,Princess Between Worlds (Wide-Awake Princess #5),5,13.34,https://books.toscrape.com/media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg
98,65,65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5,20.59,https://books.toscrape.com/media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg
99,98,98,Join,5,35.67,https://books.toscrape.com/media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg
