,Unnamed: 0.1,Unnamed: 0,name,rating,price,img_url
41,94,94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",3,45.61,https://books.toscrape.com/media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg
42,84,84,Patience,3,10.16,https://books.toscrape.com/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg
43,70,70,The Art Forger,3,40.76,https://books.toscrape.com/media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg
44,88,88,On a Midnight Clear,3,14.07,https://books.toscrape.com/media/cache/a1/14/a114d70e7babf110ba42a389078e9a45.jpg
45,64,64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,3,16.77,https://books.toscrape.com/media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg
46,69,69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",3,49.05,https://books.toscrape.com/media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg
47,79,79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",3,50.4,https://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg
48,61,61,The Murder That Never Was (Forensic Instincts #5),3,54.11,https://books.toscrape.com/media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg
49,49,49,Unicorn Tracks,3,18.78,https://books.toscrape.com/media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg
50,59,59,The Natural History of Us (The Fine Art of Pretending #2),3,45.22,https://books.toscrape.com/media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg
51,35,35,Penny Maybe,3,33.29,https://books.toscrape.com/media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg
52,52,52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3,31.12,https://books.toscrape.com/media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg
53,15,15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,57.25,https://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg
54,76,76,"Saga, Volume 6 (Saga (Collected Editions) #6)",3,25.02,https://books.toscrape.com/media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg
55,40,40,Slow States of Collapse: Poems,3,57.31,https://books.toscrape.com/media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg
56,27,27,Aladdin and His Wonderful Lamp,3,53.13,https://books.toscrape.com/media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg
57,26,26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,22.5,https://books.toscrape.com/media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg
58,31,31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,31.05,https://books.toscrape.com/media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg
59,22,22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,30.52,https://books.toscrape.com/media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg
60,25,25,Birdsong: A Story in Pictures,3,54.64,https://books.toscrape.com/media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg
61,0,0,A Light in the Attic,3,51.77,https://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
62,7,7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,17.93,https://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
