call_id,customer_id,tower_id,duration,cost,call_type,timestamp
299525,,TWR86,2432,28.24,VOICE,2026-05-17 16:55:07
764857,CUST1471,TWR88,1707,93.42,SMS,05-17-2026 16:55:07
856077,CUST2364,TWR58,2964,5.43,SMS,17/05/2026 16:55
BAD_ROW_@@@@
495865,,TWR90,1194,33.5,DATA,2026-05-17 16:55:07
BAD_ROW_@@@@
590105,CUST6054,TWR16,4154,-50,SMS,17/05/2026 16:55
894688,CUST8499,TWR25,3026,-50,VOICE,05-17-2026 16:55:07
BAD_ROW_@@@@
966509,CUST3407,TWR48,3473,-50,DATA,2026-05-17 16:55:07
447695,CUST6569,TWR91,4387,7.58,VOICE,17/05/2026 16:55
523973,CUST7195,TWR78,2,86.38,VOICE,17/05/2026 16:55
216658,,TWR6,3662,65.13,DATA,2026-05-17 16:55:07
845664,CUST4366,TWR23,2689,-50,DATA,05-17-2026 16:55:07
382817,,TWR87,4880,13.63,VOICE,05-17-2026 16:55:07
870608,,TWR74,230,3.17,SMS,2026-05-17 16:55:07
734916,,TWR16,4045,53.62,VOICE,05-17-2026 16:55:07
400855,CUST8951,TWR74,2650,56.95,VOICE,2026-05-17 16:55:07
909535,CUST4710,TWR58,1954,10.4,DATA,17/05/2026 16:55
788516,CUST9484,TWR50,3949,19.24,VOICE,2026-05-17 16:55:07
169704,CUST3706,TWR78,610,55.04,VOICE,2026-05-17 16:55:07
BAD_ROW_@@@@
492898,CUST4869,TWR71,4799,80.62,SMS,05-17-2026 16:55:07
830779,CUST5470,TWR59,4154,94.79,DATA,05-17-2026 16:55:07
518573,CUST6864,TWR64,4804,5.96,VOICE,2026-05-17 16:55:07
BAD_ROW_@@@@
779274,,TWR61,2508,89.16,SMS,05-17-2026 16:55:07
989864,CUST7105,TWR51,2963,-50,SMS,05-17-2026 16:55:07
944928,CUST9364,TWR81,534,36.0,DATA,05-17-2026 16:55:07
263587,CUST2661,TWR25,2234,62.94,DATA,05-17-2026 16:55:07
120576,CUST5835,TWR59,510,39.78,DATA,2026-05-17 16:55:07
498620,,TWR45,167,24.91,SMS,17/05/2026 16:55
BAD_ROW_@@@@
556945,CUST9448,TWR88,374,-50,VOICE,17/05/2026 16:55
BAD_ROW_@@@@
873611,CUST2431,TWR98,4383,-50,SMS,17/05/2026 16:55
BAD_ROW_@@@@
187465,CUST9794,TWR39,805,49.44,VOICE,17/05/2026 16:55
BAD_ROW_@@@@
551718,CUST7648,TWR86,2406,-50,SMS,2026-05-17 16:55:07
468442,CUST3986,TWR97,4810,36.49,VOICE,05-17-2026 16:55:07
815394,CUST8477,TWR94,1647,-50,DATA,2026-05-17 16:55:07
729064,,TWR74,1428,27.99,DATA,05-17-2026 16:55:07
955662,CUST6397,TWR2,4817,66.1,SMS,05-17-2026 16:55:07
841883,CUST1026,TWR27,2538,-50,DATA,05-17-2026 16:55:07
118198,CUST5916,TWR6,191,-50,DATA,05-17-2026 16:55:07
757529,CUST5559,TWR46,3331,97.18,VOICE,05-17-2026 16:55:07
646432,CUST4293,TWR12,4297,98.08,DATA,17/05/2026 16:55
BAD_ROW_@@@@
BAD_ROW_@@@@
575866,,TWR14,2249,17.63,DATA,05-17-2026 16:55:07
BAD_ROW_@@@@
BAD_ROW_@@@@
662471,CUST8380,TWR10,1957,25.09,VOICE,2026-05-17 16:55:07
135415,CUST9928,TWR27,2994,17.86,SMS,05-17-2026 16:55:07
617784,CUST4649,TWR64,1045,35.51,SMS,17/05/2026 16:55
800278,CUST2753,TWR33,3793,70.63,DATA,17/05/2026 16:55
767346,CUST3144,TWR5,3692,31.53,DATA,17/05/2026 16:55
529159,CUST1264,TWR5,3126,-50,SMS,2026-05-17 16:55:07
103111,CUST1354,TWR42,4941,91.25,VOICE,05-17-2026 16:55:07
801096,CUST1239,TWR52,3601,73.52,SMS,17/05/2026 16:55
259229,CUST7114,TWR35,4222,72.6,VOICE,17/05/2026 16:55
BAD_ROW_@@@@
BAD_ROW_@@@@
214461,CUST6031,TWR15,4310,-50,VOICE,05-17-2026 16:55:07
BAD_ROW_@@@@
546873,CUST5495,TWR9,2793,14.01,SMS,17/05/2026 16:55
863968,CUST9149,TWR39,3969,57.77,DATA,17/05/2026 16:55
190218,CUST6644,TWR2,1581,-50,SMS,2026-05-17 16:55:07
BAD_ROW_@@@@
551434,CUST7054,TWR49,3601,10.47,DATA,05-17-2026 16:55:07
389095,CUST3100,TWR34,3983,89.3,SMS,17/05/2026 16:55
318853,CUST1740,TWR30,2355,55.21,SMS,05-17-2026 16:55:07
348682,CUST5831,TWR16,1387,36.17,VOICE,05-17-2026 16:55:07
205497,CUST5216,TWR86,3529,36.09,DATA,05-17-2026 16:55:07
794678,CUST4789,TWR64,2515,-50,VOICE,2026-05-17 16:55:07
399195,CUST4288,TWR58,3102,96.6,VOICE,05-17-2026 16:55:07
616695,,TWR45,4331,2.93,SMS,17/05/2026 16:55
483888,,TWR77,787,0.53,SMS,2026-05-17 16:55:07
967046,CUST4359,TWR37,2687,37.7,VOICE,17/05/2026 16:55
226640,CUST4905,TWR67,182,43.98,VOICE,05-17-2026 16:55:07
