call_id,customer_id,tower_id,duration,cost,call_type,timestamp
775276,CUST2028,TWR78,4853,35.13,SMS,17/05/2026 16:54
BAD_ROW_@@@@
623924,,TWR78,2773,6.38,SMS,2026-05-17 16:54:46
367138,CUST2292,TWR44,2523,55.76,SMS,2026-05-17 16:54:46
892211,CUST1578,TWR13,2737,34.37,VOICE,17/05/2026 16:54
941621,CUST1547,TWR42,4441,-50,SMS,05-17-2026 16:54:46
BAD_ROW_@@@@
148976,CUST9956,TWR64,1654,61.95,VOICE,05-17-2026 16:54:46
546054,CUST3465,TWR27,660,5.66,VOICE,17/05/2026 16:54
355216,,TWR62,1162,35.97,SMS,2026-05-17 16:54:46
637979,CUST5648,TWR62,4722,34.4,DATA,05-17-2026 16:54:46
667257,,TWR95,2419,23.9,VOICE,05-17-2026 16:54:46
134647,CUST5869,TWR97,870,42.86,DATA,17/05/2026 16:54
530677,CUST3099,TWR87,2118,13.68,VOICE,05-17-2026 16:54:46
154630,CUST2053,TWR97,4259,-50,SMS,05-17-2026 16:54:46
BAD_ROW_@@@@
BAD_ROW_@@@@
380813,CUST3538,TWR90,1076,51.64,DATA,17/05/2026 16:54
293273,CUST4371,TWR1,2274,0.19,VOICE,2026-05-17 16:54:46
523907,,TWR40,1330,34.73,VOICE,05-17-2026 16:54:46
818953,,TWR42,3440,6.41,SMS,2026-05-17 16:54:46
189297,CUST1876,TWR81,2478,95.11,VOICE,05-17-2026 16:54:46
BAD_ROW_@@@@
852988,CUST1306,TWR61,2067,-50,DATA,17/05/2026 16:54
637374,,TWR89,1018,44.26,VOICE,05-17-2026 16:54:46
629459,CUST3941,TWR36,2656,-50,DATA,2026-05-17 16:54:46
845527,CUST7707,TWR89,3443,98.67,VOICE,05-17-2026 16:54:46
777734,,TWR88,1342,23.49,SMS,2026-05-17 16:54:46
240742,CUST3618,TWR11,8,13.58,DATA,05-17-2026 16:54:46
125016,CUST1423,TWR97,501,-50,DATA,05-17-2026 16:54:46
BAD_ROW_@@@@
982584,CUST9173,TWR75,3598,-50,DATA,17/05/2026 16:54
201829,,TWR95,905,42.81,VOICE,05-17-2026 16:54:46
627338,CUST4000,TWR20,1677,-50,VOICE,17/05/2026 16:54
325939,CUST3382,TWR82,3065,6.07,SMS,2026-05-17 16:54:46
959169,,TWR44,1584,87.82,DATA,17/05/2026 16:54
347202,,TWR19,3079,39.03,SMS,17/05/2026 16:54
221481,,TWR69,1617,26.87,SMS,05-17-2026 16:54:46
701239,CUST9176,TWR21,938,-50,SMS,2026-05-17 16:54:46
BAD_ROW_@@@@
839955,,TWR15,3314,70.79,VOICE,2026-05-17 16:54:46
BAD_ROW_@@@@
118185,CUST7585,TWR51,883,-50,DATA,17/05/2026 16:54
299917,CUST1902,TWR76,191,59.88,DATA,17/05/2026 16:54
396067,CUST5010,TWR31,3323,57.2,SMS,2026-05-17 16:54:46
794717,CUST4963,TWR13,2018,-50,DATA,17/05/2026 16:54
887241,CUST7596,TWR71,2282,29.4,SMS,17/05/2026 16:54
BAD_ROW_@@@@
BAD_ROW_@@@@
527380,CUST5520,TWR14,1316,98.23,SMS,2026-05-17 16:54:46
607666,,TWR75,3232,5.03,DATA,17/05/2026 16:54
109687,CUST2926,TWR9,2842,13.76,VOICE,17/05/2026 16:54
130201,CUST8344,TWR57,4010,54.72,SMS,2026-05-17 16:54:46
273663,,TWR21,1293,14.67,SMS,17/05/2026 16:54
761865,CUST3422,TWR14,74,-50,SMS,05-17-2026 16:54:46
980737,,TWR25,2306,88.91,VOICE,05-17-2026 16:54:46
